order_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,order_date,region
1,103,10,Backpack,Accessories,5,59.99,299.95,2024-03-22,West
2,154,3,Desk Chair,Furniture,3,199.99,599.97,2024-07-30,East
3,33,10,Backpack,Accessories,1,59.99,59.99,2024-09-16,North
4,481,1,Laptop,Electronics,3,999.99,2999.97,2024-03-26,East
5,379,3,Desk Chair,Furniture,3,199.99,599.97,2024-02-15,South
6,336,9,Water Bottle,Sports,5,19.99,99.95,2024-01-17,South
7,323,2,Mouse,Electronics,2,25.99,51.98,2024-11-06,North
8,317,1,Laptop,Electronics,5,999.99,4999.95,2024-02-04,West
9,184,10,Backpack,Accessories,3,59.99,179.97,2024-09-29,North
10,133,8,Desk Lamp,Furniture,2,45.99,91.98,2024-08-26,West
11,114,4,Coffee Mug,Kitchen,1,12.99,12.99,2024-12-29,East
12,479,7,Keyboard,Electronics,5,79.99,399.95,2024-07-18,South
13,73,4,Coffee Mug,Kitchen,1,12.99,12.99,2024-06-19,North
14,417,1,Laptop,Electronics,2,999.99,1999.98,2024-02-16,East
15,369,9,Water Bottle,Sports,3,19.99,59.97,2024-07-07,South
16,245,8,Desk Lamp,Furniture,4,45.99,183.96,2024-06-27,East
17,457,3,Desk Chair,Furniture,1,199.99,199.99,2024-03-21,South
18,186,10,Backpack,Accessories,2,59.99,119.98,2024-01-08,South
19,270,2,Mouse,Electronics,4,25.99,103.96,2024-10-08,South
20,10,10,Backpack,Accessories,4,59.99,239.96,2024-07-13,North
21,353,6,Monitor,Electronics,4,299.99,1199.96,2024-02-04,North
22,180,6,Monitor,Electronics,1,299.99,299.99,2024-04-28,North
23,477,4,Coffee Mug,Kitchen,2,12.99,25.98,2024-07-25,West
24,458,8,Desk Lamp,Furniture,5,45.99,229.95,2024-12-14,West
25,189,5,Notebook,Office,1,4.99,4.99,2024-06-15,South
26,12,9,Water Bottle,Sports,3,19.99,59.97,2024-07-17,South
27,178,6,Monitor,Electronics,5,299.99,1499.95,2024-09-25,East
28,135,9,Water Bottle,Sports,5,19.99,99.95,2024-03-09,East
29,341,3,Desk Chair,Furniture,2,199.99,399.98,2024-11-04,West
30,358,5,Notebook,Office,5,4.99,24.95,2024-09-30,North
31,127,10,Backpack,Accessories,5,59.99,299.95,2024-08-15,North
32,1,6,Monitor,Electronics,4,299.99,1199.96,2024-11-02,East
33,351,6,Monitor,Electronics,3,299.99,899.97,2024-12-14,North
34,50,8,Desk Lamp,Furniture,3,45.99,137.97,2024-08-31,West
35,158,10,Backpack,Accessories,1,59.99,59.99,2024-06-13,North
36,122,10,Backpack,Accessories,2,59.99,119.98,2024-10-21,North
37,75,1,Laptop,Electronics,4,999.99,3999.96,2024-01-26,West
38,211,6,Monitor,Electronics,5,299.99,1499.95,2024-02-12,North
39,60,6,Monitor,Electronics,1,299.99,299.99,2024-09-27,North
40,278,10,Backpack,Accessories,4,59.99,239.96,2024-12-12,North
41,434,7,Keyboard,Electronics,5,79.99,399.95,2024-09-06,East
42,428,5,Notebook,Office,2,4.99,9.98,2024-08-28,East
43,122,2,Mouse,Electronics,3,25.99,77.97,2024-08-03,North
44,194,5,Notebook,Office,1,4.99,4.99,2024-02-09,West
